-0.658335;0.039478
-0.658335;0.093853
-0.658335;0.148228
-0.658335;0.202603
-0.658335;0.256978
-0.658335;0.311353
-0.658335;0.365728
-0.658335;0.420103
-0.658335;0.474478
-0.658335;0.528853
-0.658335;0.583228
-0.658335;0.637603
-0.658335;0.691978
-0.658335;0.746353
-0.658335;0.800728
-0.60396;0.039478
-0.60396;0.093853
-0.60396;0.148228
-0.60396;0.202603
-0.60396;0.256978
-0.60396;0.311353
-0.60396;0.365728
-0.60396;0.420103
-0.60396;0.474478
-0.60396;0.528853
-0.60396;0.583228
-0.60396;0.637603
-0.60396;0.691978
-0.60396;0.746353
-0.60396;0.800728
-0.549585;0.039478
-0.549585;0.093853
-0.549585;0.148228
-0.549585;0.202603
-0.549585;0.256978
-0.549585;0.311353
-0.549585;0.365728
-0.549585;0.420103
-0.549585;0.474478
-0.549585;0.528853
-0.549585;0.583228
-0.549585;0.637603
-0.549585;0.691978
-0.549585;0.746353
-0.549585;0.800728
-0.49521;0.039478
-0.49521;0.093853
-0.49521;0.148228
-0.49521;0.202603
-0.49521;0.256978
-0.49521;0.311353
-0.49521;0.365728
-0.49521;0.420103
-0.49521;0.474478
-0.49521;0.528853
-0.49521;0.583228
-0.49521;0.637603
-0.49521;0.691978
-0.49521;0.746353
-0.49521;0.800728
-0.440835;0.039478
-0.440835;0.093853
-0.440835;0.148228
-0.440835;0.202603
-0.440835;0.256978
-0.440835;0.311353
-0.440835;0.365728
-0.440835;0.420103
-0.440835;0.474478
-0.440835;0.528853
-0.440835;0.583228
-0.440835;0.637603
-0.440835;0.691978
-0.440835;0.746353
-0.440835;0.800728
-0.38646;0.039478
-0.38646;0.093853
-0.38646;0.148228
-0.38646;0.202603
-0.38646;0.256978
-0.38646;0.311353
-0.38646;0.365728
-0.38646;0.420103
-0.38646;0.474478
-0.38646;0.528853
-0.38646;0.583228
-0.38646;0.637603
-0.38646;0.691978
-0.38646;0.746353
-0.38646;0.800728
-0.332085;0.039478
-0.332085;0.093853
-0.332085;0.148228
-0.332085;0.202603
-0.332085;0.256978
-0.332085;0.311353
-0.332085;0.365728
-0.332085;0.420103
-0.332085;0.474478
-0.332085;0.528853
-0.332085;0.583228
-0.332085;0.637603
-0.332085;0.691978
-0.332085;0.746353
-0.332085;0.800728
-0.27771;0.039478
-0.27771;0.093853
-0.27771;0.148228
-0.27771;0.202603
-0.27771;0.256978
-0.27771;0.311353
-0.27771;0.365728
-0.27771;0.420103
-0.27771;0.474478
-0.27771;0.528853
-0.27771;0.583228
-0.27771;0.637603
-0.27771;0.691978
-0.27771;0.746353
-0.27771;0.800728
-0.223335;0.039478
-0.223335;0.093853
-0.223335;0.148228
-0.223335;0.202603
-0.223335;0.256978
-0.223335;0.311353
-0.223335;0.365728
-0.223335;0.420103
-0.223335;0.474478
-0.223335;0.528853
-0.223335;0.583228
-0.223335;0.637603
-0.223335;0.691978
-0.223335;0.746353
-0.223335;0.800728
-0.16896;0.039478
-0.16896;0.093853
-0.16896;0.148228
-0.16896;0.202603
-0.16896;0.256978
-0.16896;0.311353
-0.16896;0.365728
-0.16896;0.420103
-0.16896;0.474478
-0.16896;0.528853
-0.16896;0.583228
-0.16896;0.637603
-0.16896;0.691978
-0.16896;0.746353
-0.16896;0.800728
-0.114585;0.039478
-0.114585;0.093853
-0.114585;0.148228
-0.114585;0.202603
-0.114585;0.256978
-0.114585;0.311353
-0.114585;0.365728
-0.114585;0.420103
-0.114585;0.474478
-0.114585;0.528853
-0.114585;0.583228
-0.114585;0.637603
-0.114585;0.691978
-0.114585;0.746353
-0.114585;0.800728
-0.06021;0.039478
-0.06021;0.093853
-0.06021;0.148228
-0.06021;0.202603
-0.06021;0.256978
-0.06021;0.311353
-0.06021;0.365728
-0.06021;0.420103
-0.06021;0.474478
-0.06021;0.528853
-0.06021;0.583228
-0.06021;0.637603
-0.06021;0.691978
-0.06021;0.746353
-0.06021;0.800728
-0.005835;0.039478
-0.005835;0.093853
-0.005835;0.148228
-0.005835;0.202603
-0.005835;0.256978
-0.005835;0.311353
-0.005835;0.365728
-0.005835;0.420103
-0.005835;0.474478
-0.005835;0.528853
-0.005835;0.583228
-0.005835;0.637603
-0.005835;0.691978
-0.005835;0.746353
-0.005835;0.800728
0.04854;0.039478
0.04854;0.093853
0.04854;0.148228
0.04854;0.202603
0.04854;0.256978
0.04854;0.311353
0.04854;0.365728
0.04854;0.420103
0.04854;0.474478
0.04854;0.528853
0.04854;0.583228
0.04854;0.637603
0.04854;0.691978
0.04854;0.746353
0.04854;0.800728
0.102915;0.039478
0.102915;0.093853
0.102915;0.148228
0.102915;0.202603
0.102915;0.256978
0.102915;0.311353
0.102915;0.365728
0.102915;0.420103
0.102915;0.474478
0.102915;0.528853
0.102915;0.583228
0.102915;0.637603
0.102915;0.691978
